module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Vault,vlt-setup,Setup Vault Module,SU,"Install or update Vault in this vault: install the governance bundle, scaffold the partner layer, and write module config.",configure,"{-H: headless mode}|{inline values: skip prompts with provided values}",anytime,,,true,{project-root}/_bmad,config.yaml and config.user.yaml + governance installed into the vault
Vault,vlt-agent-librarian,Summon the Librarian,LB,"The keeper of the collection — integrates sources, keeps the wiki healthy and single-home, carries the maintenance discipline.",activate,"{inline task: e.g. 'ingest this'}",anytime,,,false,{project-root},a working Librarian session; wiki / index / log / session / thread updates
Vault,vlt-agent-researcher,Summon the Researcher,RS,"The intellectual sparring partner — reaches into the world to build new knowledge and pushes you to learn.",activate,"{inline task: e.g. 'research X'}",anytime,,,false,{project-root},a working Researcher session; research notes; log / session / thread updates
Vault,vlt-agent-creative,Summon the Creative,CR,"The design and fabrication partner — turns curated wiki knowledge into made PARA deliverables; owns extraction; reframes toward producing.",activate,"{inline task: e.g. 'extract a resource doc on X'}",anytime,,,false,{project-root},a working Creative session; PARA deliverables (via extract); log / session / thread updates
Vault,vlt-ingest,Ingest a Source,IN,"Integrate a brought-in source into the wiki — change the wiki because of the source. The single writer of canonical pages.",ingest,"{source: file / URL / pasted text}",anytime,,,false,{project-root},"updated/created wiki page(s), a research note, index + log entries"
Vault,vlt-research,Research a Question,RE,"Investigate a question against the web and file a standalone research note; offers a wiki hand-off to the Librarian.",research,"{question: the precise question}|{depth: quick | moderate | deep}",anytime,,vlt-ingest:ingest,false,{project-root},a dated research note (+ log entry); an offered wiki pass via the Librarian
Vault,vlt-query,Query the Wiki,QY,"Answer a question by synthesizing curated wiki knowledge, with provenance on every claim; files back when it earns persistence.",query,"{question: what to answer from the wiki}",anytime,,,false,{project-root},"a cited, synthesized answer; optional research note or wiki page (via the Librarian)"
Vault,vlt-extract,Extract a Deliverable,EX,"Shape wiki knowledge into a human-facing PARA artifact (project / area / resource). The one sanctioned partner write into PARA.",extract,"{topic: subject of the deliverable}|{target: projects | areas | resources}",anytime,,,false,{project-root},a PARA deliverable filed in projects/ areas/ or resources/ (+ log entry)
Vault,vlt-lint,Lint the Vault,LN,"Health-check the wiki and fix safe structural problems; flags the rest and files merge candidates to the backlog.",lint,"{--full: sweep everything (default is since last lint)}",anytime,,vlt-ingest:ingest,false,{project-root},"a structured lint report, safe auto-fixes, maintenance backlog items"
Vault,vlt-dispatch,The Partner Communication Bus,DP,"The vault's partner communication bus — one routing record (_agent/dispatch.md) with a drain, three modes. `daily` scans the human capture stream and routes each fragment to the partner whose domain it serves (the original router, now named); `relay` appends a pre-addressed partner→partner handoff pointer (doc-path idempotent; fired automatically when a partner writes a handoff doc, runnable by hand for debugging); `ledger` is a read-only board of everything still open. A bare call lists the modes and asks which to run. Writes open, checkable items each partner drains by grepping its slug; reads daily/ only in `daily` mode; never edits a daily note; never auto-ingests.",dispatch,"{mode: daily | relay | ledger; bare call → menu}",anytime,,,false,{project-root},"a neutral routing record (_agent/dispatch.md) of open/picked-up items across daily + relay traffic; a log entry per write mode"
Vault,vlt-mint,Mint / Evolve the Cast,MN,"Grow the roster: mint a new operation skill, a new partner, a persona self-edit, or retire a partner. The self-evolution engine.",mint,"{kind: operation | partner | self-edit | retire}",anytime,,,false,{project-root}/.claude/skills,"a new vlt-* skill / partner / persona edit; live module-help.csv + manifest updates"
Vault,vlt-review-council,Run the Review Council,RC,"Run a persona-lens panel over a mint or a contested question and synthesize a structured verdict. The blast-radius gate.",review-council,"{question: the contested question}|{kind: mint kind, when gating a mint}",anytime,,,false,{project-root},a structured verdict (consensus / disputed-resolved / disputed-open / recommended actions)
Vault,vlt-upgrade,Upgrade Vault Durably,UP,"Upgrade the Vault module without destroying vault-specific evolution: preserve minted partners, local convention overlays, and mint history; merge-not-replace registration; record divergence in the standing ledger.",upgrade,"{source: path to the updated module source}|{bracket: reconcile after the installer runs}",anytime,,,false,{project-root},"reconciled install + appended _agent/upgrade-ledger.md entry + post-flight divergence report"
